,نوع و مدل لپ تاپ new,سری AMD new,جزئیات CPU new,مشخصات cpu ( پردازنده ) new,CPU Manufacturer new,نسل پردازنده مرکزی new,هسته پردازشی new,هسته واقعی new,میزان حافظه کش L2 new,ظرفیت داخلی new,امکان ارتقاء هارد دیسک تا new,نوع حافظه داخلي new,ظرفیت حافظه دوم new,سازنده پردازنده گرافیک new,مدل پردازنده گرافیک new,مشخصات گرافیک new,صفحه نمایش مات یا شیشه‌ای new,نور پس زمینه کیبورد new,شارژدهي باتري new,ویژگی های باتری و شارژر new,شارژر / باتری new,ابعاد صفحه نمایش new,تعدادفن new,صحفه نمایش مات new,صفحه تاچ new,نور صفحع کلید new,حسگر اثر انگشت Touch ID new,amount new
368,Vivobook  ,          ,Core i7       ,     ,             , , Intel® Core i7-1165G7    ,4 هسته                     ,   12 مگابایت                      ,                     16 گیگابایت                   ,              ,512 گیگابایت  PCIe 3.0 SSD              ,          512 گیگابایت                     , Intel                  ,  UHD Graphics پردازنده گرافیکی یکپارچه  , بدون حافظه گرافیکی مجزا                                  , ,   دارد  ,         , ,          دارد / 42 وات ساعت      ,           ,  ,  ,   ,    دارد        ,   ,27.989.000
369,  ,          ,       ,     ,             , ,     ,                     ,                         ,                                        ,              ,                 ,                               ,                   ,     ,                                   , ,     ,         , ,                ,           ,  ,  ,   ,            ,   ,88.900.000
370,  ,          ,Core i3       ,     ,             , , 10110U    ,                     ,4 مگابایت                         ,     4 گیگابایت                                   ,              ,1 ترابایت هارد دیسک هارد دیسک با سرعت 5400 دور در دقیقه               ,                               , Intel                  ,  Intel® UHD Graphics   ,  بدون حافظه گرافیکی مجزا       بدون حافظه گرافیکی مجزا                          ,دارد ,     ,         , ,  باتری با ظرفیت 32 وات ساعت              , 14.0 اینچ          ,  ,  ,   ,   ندارد         ,   ,14.777.000
371,  ,          ,       ,     ,        Intel     , , Core i9 13980HX    ,                     ,            L3 cache 36MB             ,     16                                   ,         1 ترا     ,                 ,                               , Nvidia                  ,  RTX4080   , 12G GDDR6                                  , ,     ,         , 4 سلولی از نوع یون لیتیم,"         330 وات سریع 20V DC, 14A,       ",           ,  ,  ,   ,     RGB برای هر کلید       ,خیر   ,163.300.000
372,  ,اپل          ,       ,     ,             , , M2 Max    ,12 هسته                     ,12 مگابایت                         ,    32GB                                    ,              ,                 ,     1TB                          ,                   ,  Apple (38-Core)   ,                                   ,خیر , دارد    ,  تا 22 ساعت       , ,                , 16 اینچ          ,  ,  ,   ,            ,   ,175.000.000
373, 6800H ,          ,Ryzen 7 AMD Rembrandt (Zen 3+)      ,     , AMD            ,نسل 6 ,x86     ,8                     ,20MB                         , 16GB                                       ,              ,                 , 1TB                              ,NVIDIA                   ,GeForce RTX 3050    ,              4GB                     , ,4Zone RGB     ,         , ,4Cell 56WHr                ,           ,  ,  ,   ,            ,   ,59.481.000
374,  ,          ,Celeron       ,     ,             , , N4020    ,2                     ,  4MB                       ,   4GB                                     ,              ,1TB HDD                ,                               , INTEL                  ,  UHD 600   ,                                   ,دارد ,     ,    2 تا 4 ساعت     , ,     2Cell 37WHr           ," 15.6""          ",  ,  ,   ,            ,   ,13.900.000
375, RTX 3050TI ,          ,Core i7       ,     ,NVIDIA             , ,     ,4                     ,          12MB               ,      4GB                                  ,              ,           32GB      ,    2TB                           ,                   ,     ,                                   , ,     ,2 الی 4 ساعت         , ,58WHr                ,           ,  ,  ,   ,            ,   ,159.000.000
376, IdeaPad 3-14IGL05 ,          ,Celeron       ,     ,             , , N4020  64 بیتی  , 2 هسته حقیقی + 2 هسته مجازی                    ,    4 مگابایت                     ,        4 گیگابایت DDR4، باس 2400 مگاهرتز                                ,              ,       256 گیگابایت SSD، از نوع PCIe 3.0x2 NVMe، سایز M.2 2242          ,                               ,                   ,     , ندارد                                  , , ندارد    ,         , ,    باتری لیتیوم پلیمری 35 وات‌ساعت            ,   14 اینچ        ,Integrated Intel UHD Graphics 600  ,  ,   ,            ,   ,11.281.000
377,  ,          ,Core i7       ,     ,             , , 8550U    ,                     ,  8 MB                       ,   16GB                                     ,              ,256GB NVMe PCIe                ,            256GB 2280 PCIe NVMe Value hard drive                   , GeForce                  ,  930MX   , 2 GB DDR3                                  , ,     ,  بیش از 16 ساعت و 15 دقیقه       , ,                , 14 اینچ          ,  ,  ,   ,            ,   ,28.000.000
378,  ,          ,1065G7       ,     ,             , , Core i7    ,                     ,8 مگابایت                         ,    16GB   بدون حافظه‌ی گرافیکی مجزا                                 ,              ,                 ,     512GB                          ,                   ,  Intel Iris Graphics   ,                                   ,خیر , دارد    ,  تا 11 ساعت       , ,                , 13 اینچ          ,  ,  ,   ,            ,   ,29.900.000
379, 1165G7 ,          ,Core i7 Tiger Lake      ,     , Intel            ,نسل 11 ,x86     ,4                     ,12MB                         , 16GB                                       ,   1TB           ,                 , 256GB                              ,NVIDIA                   ,GeForce MX450    ,              2GB                     , ,White Backlit     ,         , ,4Cell 57WHr                ,           ,  ,  ,   ,            ,   ,36.600.000
380, 6800H ,          ,Ryzen 7 AMD Rembrandt (Zen 3+)      ,     , AMD            ,نسل 6 ,x86     ,8                     ,16MB                         , 16GB                                       ,              ,                 , 512GB                              ,NVIDIA                   ,GeForce RTX 3050    ,              4GB                     , ,White Backlit     ,         , ,4Cell 71WHr                ,           ,  ,  ,   ,            ,   ,41.200.000
